,360ONE,3MINDIA,AARTIIND,AAVAS,ABB,ABBOTINDIA,ABCAPITAL,ABFRL,ABSLAMC,ACC,ACE,ADANIENSOL,ADANIENT,ADANIGREEN,ADANIPORTS,ADANIPOWER,AEGISLOG,AFFLE,AIAENG,AJANTPHARM
2025-03-26 09:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-27 09:15:00,-26,0,-64,-12,-4,0,-138,-97,-39,-12,-20,-31,-10,-27,-21,-50,-31,-15,-7,-9
2025-03-28 09:15:00,-24,0,-61,-11,-4,0,-130,-93,-37,-12,-19,-27,-10,-25,-20,-46,-27,-14,-7,-9
2025-04-01 09:15:00,-26,0,-63,-11,-4,0,-134,-96,-38,-12,-19,-28,-10,-26,-20,-48,-30,-15,-7,-9
2025-04-02 09:15:00,-27,0,-63,-11,-4,0,-134,-96,-38,-12,-19,-28,-10,-26,-20,-48,-31,-15,-7,-9
